"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Demographic Bias Vulnerability","[""Demographic bias vulnerability""]","[""vulnerable to the changes in the student's background""]","[""doi:10.1016/j.caeai.2024.100347:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hallucinated Identifiers","[""Hallucinated identifiers""]","[""semantic-breaking change""]","[""doi:10.1109/icst62969.2025.10989020:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Adaptive Timing Controller","[""Adaptive timing controller""]","[""reshape developer behavior""]","[""doi:10.1109/asew67777.2025.00049:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Output Unreliability And Non-Determinism","[""Output unreliability and non-determinism""]","[""different code each time""]","[""doi:10.1016/j.infsof.2025.107751:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low Perceived Persuasiveness","[""Low perceived persuasiveness""]","[""perceive agents as less convincing and confident""]","[""doi:10.1038/s41598-025-98378-1:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mandatory Human Verification","[""Mandatory human verification""]","[""Trust, but verify""]","[""doi:10.1145/3643690.3648236:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Evidence-Constrained Responses","[""Evidence-constrained responses""]","[""constrained to only claim what retrieved evidence supports""]","[""doi:10.1145/3772363.3798543:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Fix Resolution Rate","[""High fix resolution rate""]","[""resolve up to 63 %""]","[""doi:10.1109/dsd67783.2025.00025:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ui Shortcuts For Common Tasks","[""UI shortcuts for common tasks""]","[""Quick commands""]","[""doi:10.1145/3644815.3644949:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Requirements Text Analysis","[""Requirements text analysis""]","[""analyze software requirements, extract key information""]","[""doi:10.1109/icst60714.2024.00039:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Metric Improvements","[""Metric improvements""]","[""substantial improvements across all evaluation metrics""]","[""doi:10.1109/iccbe65177.2025.11255927:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comparable Student Performance","[""Comparable student performance""]","[""achieving similar grades to those scored by the best of the students""]","[""doi:10.9781/ijimai.2025.09.005:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Alert Summarisation","[""Automated alert summarisation""]","[""generating concise yet actionable alert summaries""]","[""doi:10.1109/ase63991.2025.00009:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Developer Questionnaire","[""Developer questionnaire""]","[""questionnaire-based study""]","[""doi:10.1145/3793252:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Audio-Visual Sync Issues","[""Audio-visual sync issues""]","[""uncoordinated video demonstrates the critical necessity of aligning visual and auditory elements""]","[""doi:10.1145/3708319.3733810:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Accessible Conversational Ui","[""Accessible conversational UI""]","[""conversational interface is accessible""]","[""doi:10.1007/s10664-026-10813-7:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Autonomous Llm Tool Execution","[""Autonomous LLM tool execution""]","[""take the wheel""]","[""doi:10.1145/3729355:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Human-In-The-Loop Fallback","[""Human-in-the-loop fallback""]","[""interactive conversation to ask developers to confirm""]","[""doi:10.1145/3597503.3608137:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Multi-Agent Chat Assistant","[""multi-agent chat assistant""]","[""multi-agent conversational AI-assistant""]","[""doi:10.1109/vl/hcc60511.2024.00011:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Need For Explainability","[""Need for explainability""]","[""want an explicit rationale to improve their trust""]","[""doi:10.1145/3696630.3728559:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Response Agreement Rate","[""Response agreement rate""]","[""match with Stack Overflow answers in 56.1% of cases""]","[""doi:10.1109/rew57809.2023.00048:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Efficiency And Syntax Recall","[""Efficiency and syntax recall""]","[""reduce key-strokes, finish programming tasks quickly, and recall syntax""]","[""doi:10.1145/3597503.3608128:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Revealing Value Disagreements","[""Revealing value disagreements""]","[""surfacing situations""]","[""doi:10.1145/3772318.3790500:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Human-Ai Benchmark Evaluation","[""Human-AI benchmark evaluation""]","[""compare evaluations by human evaluators and ChatGPT""]","[""doi:10.5815/ijmecs.2026.02.05:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Resolution Rate Via Hybrid System","[""High resolution rate via hybrid system""]","[""resolves 86% of cases""]","[""doi:10.1145/3772318.3791441:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Better Belief Calibration","[""Better belief calibration""]","[""improves users' confidence calibration""]","[""doi:10.1145/3772318.3791365:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Nl For Complex Constraints","[""NL for complex constraints""]","[""natural language easier for specifying complex constraints""]","[""doi:10.1145/3613905.3650756:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Generation Errors","[""LLM generation errors""]","[""terminological issues""]","[""doi:10.1109/ase63991.2025.00275:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Versioning","[""Prompt versioning""]","[""monitor both model and prompt updates""]","[""doi:10.1145/3644815.3644950:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Limited Reliable Modeling","[""Limited reliable modeling""]","[""lacks some core goal modeling ability""]","[""doi:10.1109/rew57809.2023.00052:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Occasional Ai Usage","[""Occasional AI usage""]","[""interacted with LLMs occasionally""]","[""doi:10.1109/fie63693.2025.11328650:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Infrastructure Deployment","[""Automated infrastructure deployment""]","[""abstracts away infrastructure management""]","[""doi:10.1145/3773274.3774686:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Complex Reasoning Failure","[""Complex reasoning failure""]","[""lacks the ability to grasp logical details""]","[""doi:10.1109/tse.2024.3392499:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Generation Latency","[""Generation Latency""]","[""significant challenge observed during the evaluation was latency""]","[""doi:10.1049/icp.2025.3640:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api Vulnerability Detection","[""API vulnerability detection""]","[""detect a compilation of 40 API vulnerabilities in the source code""]","[""doi:10.1145/3655693.3655701:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Task Autonomy","[""Increased task autonomy""]","[""enhanced cross-functionality""]","[""doi:10.5815/ijitcs.2023.06.03:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Full-Stack Development","[""Full-stack development""]","[""develop a full-stack application""]","[""doi:10.1002/cae.70177:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Pr Summarization Generation","[""PR summarization generation""]","[""generating summaries of changes""]","[""doi:10.1145/3643773:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Intermediate Output Visibility","[""Intermediate output visibility""]","[""log the outputs per node""]","[""doi:10.1145/3491101.3519729:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Lack Of Preliminary Searching","[""Lack of preliminary searching""]","[""seldom treat AI as a research partner""]","[""doi:10.48009/1_iis_134:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Agent Affirmation","[""Agent Affirmation""]","[""affirmation phrases such as 'certainly'""]","[""doi:10.1109/cascon66301.2025.00068:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Ignorance","[""Context ignorance""]","[""ignoring existing code""]","[""doi:10.1109/vl-hcc65237.2025.00034:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Completeness And Standards Alignment","[""Completeness and Standards Alignment""]","[""improved completeness and standard alignment""]","[""doi:10.1109/icoailo66760.2025.11156083:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Overreliance And Copy-Pasting","[""Overreliance and copy-pasting""]","[""copy AI output wholesale""]","[""doi:10.48009/1_iis_134:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Autonomous Script Repair","[""Autonomous script repair""]","[""automatically fixed with no human intervention""]","[""doi:10.25103/jestr.186.21:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Peer Collaboration","[""Reduced peer collaboration""]","[""talking to AI than to me""]","[""doi:10.1145/3696630.3730566:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Output Inconsistency","[""Output inconsistency""]","[""exhibit a large variation""]","[""doi:10.1109/rew57809.2023.00052:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai Misunderstands Prompts","[""AI misunderstands prompts""]","[""misinterpreted my questions""]","[""doi:10.1145/3597503.3639201:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Resource Footprint","[""High resource footprint""]","[""Uses too much resources""]","[""doi:10.1109/ase63991.2025.00024:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Conversational Behavior Taxonomy","[""Conversational behavior taxonomy""]","[""turn-level taxonomy""]","[""doi:10.1145/3772318.3790459:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Iterative Prompt Testing Overhead","[""Iterative prompt testing overhead""]","[""time-consuming""]","[""doi:10.1145/3613905.3650756:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Longitudinal Field Deployment","[""Longitudinal field deployment""]","[""tested the proposed framework over a period of 30 days""]","[""doi:10.1109/cog60054.2024.10645540:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api Migration","[""API migration""]","[""migrate a client application""]","[""doi:10.1145/3674805.3690746:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Inaccurate And Incomplete Propositions","[""Incorrect assertions generated"", ""missing assertions challenge""]","[""assertions generated by ChatGPT for some categories were incorrect"", ""have more cases (avg. 25%) without assertions""]","[""doi:10.1145/3643795.3648396:P002"", ""doi:10.1109/icse-seip66354.2025.00042:P005""]","2","TBS","2026-04-19T03:06:07+00:00",""
"High-Quality Insights","[""High-quality insights""]","[""helpful and non trivial, and are free from hallucinations""]","[""doi:10.1109/asew67777.2025.00011:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api Deprecation Challenges","[""API deprecation challenges""]","[""fails to detect a deprecated API even though the change is small""]","[""doi:10.1007/s10515-025-00492-x:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Knowledge Cutoff Limitations","[""Knowledge cutoff limitations""]","[""information generated after their training""]","[""doi:10.1016/j.jss.2025.112541:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mixed Conceptual Learning Outcomes","[""Mixed conceptual learning outcomes""]","[""gains in conceptual understanding were mixed""]","[""doi:10.1145/3769694.3771128:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Barriers To Developer Resolution","[""Barriers to developer resolution""]","[""lack of clarity, relevancy, and simplicity""]","[""doi:10.1109/ase63991.2025.00312:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Controlled Experimental Study","[""Controlled experimental study""]","[""randomly assigned into two groups""]","[""doi:10.1109/compsac61105.2024.00156:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Common Template Components","[""Common template components""]","[""four most common""]","[""doi:10.1145/3696630.3728533:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Domain Context Deficit","[""Domain context deficit""]","[""lack the specialized knowledge and context""]","[""doi:10.24251/hicss.2025.883:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Criticality Of Reliability","[""Criticality of reliability""]","[""reliability is the most critical trust factor""]","[""doi:10.1007/s00766-026-00457-w:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Short Artifact Interactions","[""Short artifact interactions""]","[""receive the results they are expecting quickly or give up""]","[""doi:10.1145/3660788:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Cross-Framework Evaluation Setup","[""Cross-framework evaluation setup""]","[""four combinations""]","[""doi:10.1117/12.3049666:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Homework Solving Usage","[""Homework solving usage""]","[""used generative AI tools for solving homework""]","[""doi:10.1080/10447318.2023.2269006:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Consistent Test Selection","[""Consistent test selection""]","[""consistently selected TC1 and TC3""]","[""doi:10.1145/3664646.3664762:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Preliminary Automated Review","[""Preliminary automated review""]","[""first level of review""]","[""doi:10.1145/3721127:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Variable Extraction","[""Automated variable extraction""]","[""extraction of variables from user manuals""]","[""doi:10.1109/saner56733.2023.00070:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Improved Task Focus","[""Improved task focus""]","[""concentrate on a debate's topic better""]","[""doi:10.1038/s41598-025-98378-1:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Variable Scoping Errors","[""Variable scoping errors""]","[""problems with scoping of variables""]","[""doi:10.1186/s40537-024-01019-z:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Accelerated Requirements Engineering","[""Accelerated requirements engineering""]","[""reduced time for defining requirements""]","[""doi:10.5220/0012631600003687:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Decreased Forum Activity","[""Decreased forum activity""]","[""continuous significant decline in posting""]","[""doi:10.1016/j.jss.2025.112541:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Stack Trace Debugging","[""Stack trace debugging""]","[""providing error stack traces""]","[""doi:10.1145/3716640.3716657:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai Defect Repair","[""AI defect repair""]","[""generate defect repair recommendations""]","[""doi:10.1109/fie63693.2025.11328290:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Reuse Strategy","[""Prompt reuse strategy""]","[""categorized prompt library""]","[""doi:10.5152/electrica.2026.25033:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Motivation Impact On Performance","[""Motivation impact on performance""]","[""learning motivation affected their overall performance""]","[""doi:10.3389/fpsyg.2022.868698:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Usability Score","[""High Usability Score""]","[""System Usability Scale (SUS) score of 74.2""]","[""doi:10.1609/aaai.v40i47.41475:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Bug Frequency","[""High bug frequency""]","[""often or always experience bugs""]","[""doi:10.1007/s10664-025-10614-4:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Replacing Traditional Search","[""Replacing traditional search""]","[""quick information retrieval""]","[""doi:10.24251/hicss.2025.883:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"General Text Generation And Review","[""General text generation and review""]","[""reviewing or improving texts""]","[""doi:10.1145/3772318.3790622:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Desire For Human Interaction","[""Desire for human interaction""]","[""value the human touch""]","[""doi:10.1145/3721127:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai-Human Alignment","[""AI-human alignment""]","[""mirrored this preference""]","[""doi:10.1145/3664646.3664762:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Opaque Context Window","[""Opaque context window""]","[""waste my time trying to get the chat to understand""]","[""doi:10.1145/3756681.3757081:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Slice-Level Testing","[""Slice-level testing""]","[""different granularity""]","[""doi:10.1145/3644815.3644950:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Conversational Problem Solving","[""Conversational problem solving""]","[""natural language solutions related to code""]","[""doi:10.1109/iccp60212.2023.10398656:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Inappropriate Ai Trust","[""Inappropriate AI trust""]","[""over-relied on irrelevant or incorrect advice""]","[""doi:10.1145/3772318.3791365:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Student Preference For Llm Graders","[""Student preference for LLM graders""]","[""found the GPT-based grader and code-generation graders more helpful""]","[""doi:10.1145/3774752:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Distraction","[""Context distraction""]","[""overemphasized details from pull request descriptions""]","[""doi:10.1109/asew67777.2025.00011:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai Generated Bias","[""AI generated bias""]","[""stereotypical portrayals""]","[""doi:10.1145/3706599.3720193:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api Generation Inaccuracies","[""API generation inaccuracies""]","[""performed poorly""]","[""doi:10.51983/ijiss-2025.ijiss.15.2.46:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Enhanced Report Usability","[""Enhanced report usability""]","[""improve readability, actionability, and interpretability""]","[""doi:10.1109/icst62969.2025.10988984:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ethical And Security Challenges","[""Ethical and security challenges""]","[""responsibility for AI-generated code""]","[""doi:10.18421/tem134-10:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Fear Of Over-Reliance","[""Fear of over-reliance""]","[""relying only on AI-generated answers""]","[""doi:10.1145/3626252.3630909:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Limited Perceived Value","[""Limited perceived value""]","[""does not bring extra benefits""]","[""doi:10.1145/3661167.3661183:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"One-Shot Prompt Superiority","[""One-shot prompt superiority""]","[""best results are achieved by the One-Shot prompt""]","[""doi:10.1145/3674805.3690746:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Analyzing Tool-Triggered Conversations","[""Analyzing tool-triggered conversations""]","[""understanding the sentiment and intent in the conversation""]","[""doi:10.1145/3691620.3695257:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Diagramming For Comprehension","[""Diagramming for comprehension""]","[""Code structure visualization""]","[""doi:10.7763/ijcte.2025.v17.1378:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Diverse Testing Concepts","[""Diverse testing concepts""]","[""more diverse concepts worth testing""]","[""doi:10.18653/v1/2023.findings-emnlp.901:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Autonomous Task Execution","[""Autonomous task execution""]","[""autonomously plan, execute, test, and iterate""]","[""doi:10.1145/3798166:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Just-In-Time Recommendation","[""Just-in-time recommendation""]","[""recommended at diff time""]","[""doi:10.1145/3663529.3663839:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Common Usage Problems","[""Common usage problems""]","[""Operation Issue and Compatibility Issue""]","[""doi:10.1016/j.jss.2024.112204:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Direct Solution Prompting","[""Direct solution prompting""]","[""copying assignment descriptions to get direct solutions""]","[""doi:10.1145/3716640.3716657:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Suggestion Adoption","[""Increased suggestion adoption""]","[""relative increase of 90.9% in developer acceptance""]","[""doi:10.1109/ase63991.2025.00315:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comprehensive Security Explanations","[""Comprehensive security explanations""]","[""provide more information on the causes, exploits, and fixes""]","[""doi:10.1007/s10664-025-10658-6:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Complexity Limitation","[""Complexity limitation""]","[""struggles with complex problems""]","[""doi:10.3389/fcomp.2024.1473870:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai For Requirements Engineering","[""AI for requirements engineering""]","[""generate user stories""]","[""doi:10.1007/s10257-025-00704-7:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai-Assisted Architecting","[""AI-assisted Architecting""]","[""architectural analysis, synthesis, and evaluation""]","[""doi:10.1145/3593434.3593468:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Resolution Failure","[""Context resolution failure""]","[""couldn't identify the right file""]","[""doi:10.1145/3769994.3770029:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Database Schema Generation","[""Database Schema Generation""]","[""create a relational DB""]","[""doi:10.14569/ijacsa.2024.0150168:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Copilot Code Complexity","[""Copilot code complexity""]","[""longer and more complex""]","[""doi:10.1109/llm4code66737.2025.00019:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Black-Box Llm Distrust","[""Black-box LLM distrust""]","[""fostering distrust and impeding adoption""]","[""doi:10.1109/ase63991.2025.00315:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Edge Case Failure","[""Edge case failure""]","[""can't handle the edge cases""]","[""doi:10.1145/3769994.3770029:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Evaluating Model Responses","[""Evaluating model responses""]","[""investigate hypotheses""]","[""doi:10.1145/3613904.3642016:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Few-Shot Performance Benefit","[""Few-shot performance benefit""]","[""significantly outperforms the other log parsers""]","[""doi:10.1109/ase56229.2023.00206:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Handling Flakiness","[""Handling flakiness""]","[""non-determinism of LLM APIs""]","[""doi:10.1145/3644815.3644950:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Interaction Path Dependency","[""Interaction path dependency""]","[""path-dependent""]","[""doi:10.1109/rew57809.2023.00052:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Improved Semantic Clarity","[""Improved semantic clarity""]","[""preferred the semantic clarity""]","[""doi:10.1109/ase63991.2025.00250:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Shallow Evidence Exploration","[""Shallow evidence exploration""]","[""clicked no further than the first link""]","[""doi:10.1145/3726302.3729960:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Junior Developer Learning","[""Junior developer learning""]","[""waste the time of senior developers""]","[""doi:10.1007/s10257-025-00704-7:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High User Adoption","[""High user adoption""]","[""near 100 adopted by SREs""]","[""doi:10.1109/ase63991.2025.00009:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Expert Qualitative Assessment","[""Expert qualitative assessment""]","[""two SREs scoring summaries""]","[""doi:10.1109/ase63991.2025.00009:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai-Induced Dependency Errors","[""AI-induced dependency errors""]","[""troubleshooting dependency conflicts""]","[""doi:10.1145/3643991.3645075:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Developer Reception To Ai Code","[""Developer reception to AI code""]","[""expressed caution towards LLM-generated code""]","[""doi:10.1109/ase63991.2025.00223:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Task Complexity Drives Iteration","[""Task complexity drives iteration"", ""Benefits of multi-turn iterations"", ""Multi-turn Iteration""]","[""persist until the AI responds satisfactorily"", ""Benefits of multi-turn iterations"", ""Multi-turn Iteration""]","[""doi:10.48009/1_iis_134:P004"", ""doi:10.1145/3650212.3680368:P003"", ""doi:10.1109/cascon66301.2025.00068:P003""]","3","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reduced Generation Efficiency","[""Reduced generation efficiency""]","[""lower GE score""]","[""doi:10.1145/3715014.3722064:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Simulated Onboarding Tasks","[""Simulated onboarding tasks""]","[""assigned each of them three onboarding tasks""]","[""doi:10.1145/3696630.3728611:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Scope Localization","[""Scope localization""]","[""narrow down modifications""]","[""doi:10.1109/vl-hcc65237.2025.00017:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Ga As Integration","[""LLM GA AS integration""]","[""novel integration of three complementary technologies""]","[""doi:10.1109/icei64305.2024.10912343:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Optimization","[""Context Optimization""]","[""Context Optimization""]","[""doi:10.1145/3663529.3663801:P004""]","1","TBS","2026-04-19T03:06:08+00:00","split from cluster 18"
"Context Provision Challenge","[""Context provision challenge""]","[""Context provision challenge""]","[""doi:10.1145/3660788:P003""]","1","TBS","2026-04-19T03:09:12+00:00","split from cluster 18"
"Domain-Specific Context Challenge","[""Domain-specific context challenge""]","[""Domain-specific context challenge""]","[""doi:10.1109/ase56229.2023.00206:P002""]","1","TBS","2026-04-19T03:09:34+00:00","split from cluster 18"
"Chatgpt Superiority","[""ChatGPT superiority"", ""ChatGPT test generation""]","[""ChatGPT superiority"", ""ChatGPT test generation""]","[""doi:10.1016/j.jss.2025.112541:P001"", ""doi:10.1145/3678719.3685691:P001""]","2","TBS","2026-04-19T03:13:15+00:00","split from cluster 721"
